a	b	estimate	pvalue	pvalueIDH	corr.pvalue	corr.pvalueIDH	isSignificant
purity	Angiogenesis	0.00279039682775309	0.00626118766240253	0.705211998971484	0.00876566272736355	0.886163245833843	1
purity	Apoptosis	0.00160234691916004	0.0484485441043542	0.0560364904501927	0.0616617834055417	0.392255433151349	0
purity	Cell_Cycle	0.0157439438357477	6.61681357003915e-08	0.596040148766503	1.54392316634247e-07	0.886163245833843	1
purity	Differentiation	0.000698268434391087	0.243826982242155	0.312399187290509	0.262582903953091	0.886163245833843	0
purity	DNA_damage	0.00856552483167719	2.2099545953553e-10	0.759568496429008	1.54696821674871e-09	0.886163245833843	1
purity	DNA_repair	0.0106134741851238	1.29114445523919e-09	0.66082251063943	6.0253407911162e-09	0.886163245833843	1
purity	EMT	0.00725377813405104	2.04887676318222e-08	0.382318487708425	5.73685493691021e-08	0.886163245833843	1
purity	Hypoxia	0.00738126745235634	0.00261004651711051	0.843816161276737	0.0045675814049434	0.908725096759563	1
purity	Inflammation	0.00260115270776975	0.13819438313714	0.400223704339857	0.161226780326664	0.886163245833843	0
purity	Invasion	0.00711211349700455	1.90823412074078e-07	0.09535097198754	3.81646824148156e-07	0.44497120260852	1
purity	Metastasis	0.0065924738316918	4.18016896626248e-09	0.542640069926053	1.46305913819187e-08	0.886163245833843	1
purity	Proliferation	0.00610702138769757	3.60990742336745e-11	0.63591270617514	5.05387039271442e-10	0.886163245833843	1
purity	Quiescence	-0.00104101932247536	0.389286852965257	0.0469268258013468	0.389286852965257	0.392255433151349	0
purity	Stemness	0.00131887678480539	0.00588649610034905	0.964927871775006	0.00876566272736355	0.964927871775006	1
