a	b	estimate	pvalue	corr.pvalue	isSignificant
purity	Angiogenesis	-0.00120179860121464	0.0138182001388769	0.0193454801944277	1
purity	Apoptosis	0.000189193346453538	0.691530009189208	0.691530009189208	0
purity	Cell_Cycle	0.00868388599892717	5.15041158885814e-05	0.000144211524488028	1
purity	Differentiation	-0.00135712529515398	0.000645376297978064	0.00129075259595613	1
purity	DNA_damage	0.00520873819693574	4.65492735099988e-06	1.62922457284996e-05	1
purity	DNA_repair	0.0080002599642935	4.85019234107254e-07	2.26342309250052e-06	1
purity	EMT	0.000822342335296245	0.108329343385932	0.137873709763914	0
purity	Hypoxia	-0.00318572286979268	1.10790191568815e-09	1.55106268196341e-08	1
purity	Inflammation	-0.00210309929033163	0.00417347872075991	0.00649207801007096	1
purity	Invasion	0.00163402970114725	0.00150677554398349	0.00263685720197111	1
purity	Metastasis	0.000265769469049624	0.550704179107889	0.593066039039265	0
purity	Proliferation	0.00254247063520386	0.000459844812365453	0.00107297122885272	1
purity	Quiescence	-0.00262418874065301	2.07087852494714e-08	1.449614967463e-07	1
purity	Stemness	0.000437712000119469	0.320025371041408	0.373362932881643	0
