a	b	estimate	pvalue	corr.pvalue	isSignificant
purity	Angiogenesis	0.000376672494413326	0.609296440176502	0.656165397113156	0
purity	Apoptosis	0.000841671962786873	0.123833422442475	0.173366791419465	0
purity	Cell_Cycle	0.0112385732328185	1.04862237273891e-08	3.6701783045862e-08	1
purity	Differentiation	-0.000517678374299262	0.226421987900109	0.288173439145593	0
purity	DNA_damage	0.00647414847750469	2.16202493852376e-12	1.51341745696663e-11	1
purity	DNA_repair	0.00881653758581398	1.76744281649806e-13	2.47441994309728e-12	1
purity	EMT	0.00353475500837953	0.00010239296338274	0.000238916914559727	1
purity	Hypoxia	0.00122025135138488	0.467795239279547	0.545761112492805	0
purity	Inflammation	-0.000253132295424936	0.830461783327443	0.830461783327443	0
purity	Invasion	0.00399398868799302	2.66914015161654e-05	7.47359242452631e-05	1
purity	Metastasis	0.00299339119072186	0.000151288668262609	0.000302577336525218	1
purity	Proliferation	0.00396231006392247	8.97903741981304e-10	4.19021746257942e-09	1
purity	Quiescence	-0.00202354972097525	0.01738180141372	0.0277540620855631	1
purity	Stemness	0.000750897781651685	0.0178418970550049	0.0277540620855631	1
