"","x"
"1","NEFM"
"2","STMN2"
"3","VSNL1"
"4","SLC17A7"
"5","CAMK2A"
"6","SYT1"
"7","CHRM3"
"8","NRGN"
"9","NPTX2"
"10","NMB"
"11","PACSIN1"
"12","SYT13"
"13","VGF"
"14","SV2B"
"15","GABRB2"
"16","ENC1"
"17","SLC6A17"
"18","LNX1"
"19","HPCA"
"20","SULT4A1"
"21","DDN"
"22","GABRA1"
"23","GNG3"
"24","PTPN5"
"25","NEURL1"
"26","SLC14A1"
"27","KCNS1"
"28","RPH3A"
"29","MAP7D2"
"30","MYT1L"
"31","SNAP25"
"32","RGS4"
"33","STAC2"
"34","KCNC2"
"35","CXCL14"
"36","CALY"
"37","GRIN2B"
"38","CRYM"
"39","IQSEC3"
"40","CAMK1G"
"41","RBFOX1"
"42","C11orf87"
"43","TMEM130"
"44","TMEM132D"
"45","SELL"
"46","NNAT"
"47","DNM1"
"48","SYT4"
"49","GAD2"
"50","SYN2"
"51","CCK"
"52","PHYHIP"
"53","PCSK1"
"54","ST8SIA5"
"55","NPTX1"
"56","NEFH"
"57","CREG2"
"58","PRLHR"
"59","CNR1"
"60","GDA"
"61","IGFN1"
"62","CHI3L1"
"63","GABRG2"
"64","SLC4A10"
"65","NEUROD2"
"66","MAL2"
"67","GRIN1"
"68","GABRA2"
"69","TESPA1"
"70","PTPRN"
"71","EPHB6"
"72","GABRA4"
"73","TBR1"
"74","ADCY1"
"75","SLC13A5"
"76","DMRT2"
"77","NGEF"
"78","SLC12A5"
"79","ZCCHC12"
"80","SNCB"
"81","UNC13C"
"82","MPPED1"
"83","MRAP2"
"84","TENM2"
"85","CHGA"
"86","SLC30A3"
"87","CHST9"
"88","CPNE4"
"89","IGFBP2"
"90","CELF4"
"91","NELL2"
"92","BCAT1"
"93","FABP7"
"94","KCNK9"
"95","CACNG3"
"96","RIMS1"
"97","SHC3"
"98","EEF1A2"
"99","ERICH3"
"100","ZNF385D"
